Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED,From Line 6
59,19-0925-EX1,Transfer from Early College and Career - City Wide to David G Farragut Career Academy High School,Certifications for CTE Teaching program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 474567,,53091 David G Farragut Career Academy High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",140005 Cte - Childcare Worker,474567 Special Student Needs-C. Perkins Fy20,"$1,168","Other Instruction Purposes - Miscellaneous
Special Student Needs-C. Perkins Fy20",
60,19-0925-EX1,Transfer from Early College and Career - City Wide to Robert Lindblom Math & Science Academy HS,Certifications for CTE Teaching program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 474567,,46511 Robert Lindblom Math & Science Academy HS,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",140005 Cte - Childcare Worker,474567 Special Student Needs-C. Perkins Fy20,"$1,168","Other Instruction Purposes - Miscellaneous
Special Student Needs-C. Perkins Fy20",
61,19-0925-EX1,Transfer from Early College and Career - City Wide to Neal F Simeon Career Academy High School,Certifications for CTE Teaching program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 474567,,53061 Neal F Simeon Career Academy High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",140005 Cte - Childcare Worker,474567 Special Student Needs-C. Perkins Fy20,"$1,168","Other Instruction Purposes - Miscellaneous
Special Student Needs-C. Perkins Fy20",
62,19-0925-EX1,Transfer from Early College and Career - City Wide to Uplift Community High School,Certifications for CTE Teaching program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 474567,,26861 Uplift Community High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",140005 Cte - Childcare Worker,474567 Special Student Needs-C. Perkins Fy20,"$1,168","Other Instruction Purposes - Miscellaneous
Special Student Needs-C. Perkins Fy20",
63,19-0925-EX1,Transfer from Early College and Career - City Wide to Theodore Roosevelt High School,Certifications for CTE Early Childhood program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 474567,,46271 Theodore Roosevelt High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",140005 Cte - Childcare Worker,474567 Special Student Needs-C. Perkins Fy20,"$1,168","Other Instruction Purposes - Miscellaneous
Special Student Needs-C. Perkins Fy20",
64,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Richard Henry Lee Elementary School,FY20 21CCLC Non Instr. Allocation,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,442185 21st Century Community Learning Centers Fy20,26331 Richard Henry Lee Elementary School,"324 Miscellaneous Federal, State & Local Grants",57415 FICA,297920 Other Government Funded - Support Services,442185 21st Century Community Learning Centers Fy20,"$1,182",,
65,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Morgan Park High School,FY20 21CCLC Adult Allocation,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,"442187 21st Century Community Learning Centers - (Cohort
15-Grant 2) Fy20",46251 Morgan Park High School,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,390008 Other Government Funded - Community Services,"442187 21st Century Community Learning Centers - (Cohort
15-Grant 2) Fy20","$1,182",,
66,19-0925-EX1,Transfer from Early College and Career - City Wide to Percy L Julian High School,Supplies for CTE Entrepreneurship program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20",46401 Percy L Julian High School,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,149014 Product Marketing / Entrepreneurship,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20","$1,182",,
67,19-0925-EX1,Transfer from Early College and Career - City Wide to Paul Laurence Dunbar Career Academy High School,Workbooks for CTE Cosmetology program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,53021 Paul Laurence Dunbar Career Academy High School,369 Title I - School Improvement Carl Perkins,53305 Instructional Materials (Non-Digital),140225 Cosmetology,474567 Special Student Needs-C. Perkins Fy20,"$1,188",,
68,19-0925-EX1,Transfer from Early College and Career - City Wide to William J Bogan High School,Certifications for CTE Entrepreneurship program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 322024,,46041 William J Bogan High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",149014 Product Marketing / Entrepreneurship,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20","$1,195","Other Instruction Purposes - Miscellaneous
Career & Technical Educ. Improvement Grant (Ctei)
Fy20",
69,19-0925-EX1,Transfer from Early College and Career - City Wide to Percy L Julian High School,Certifications for CTE Entrepreneurship program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 322024,,46401 Percy L Julian High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",149014 Product Marketing / Entrepreneurship,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20","$1,195","Other Instruction Purposes - Miscellaneous
Career & Technical Educ. Improvement Grant (Ctei)
Fy20",
70,19-0925-EX1,Transfer from Early College and Career - City Wide to Al Raby High School,Certifications for CTE Entrepreneurship program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 322024,,46471 Al Raby High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",149014 Product Marketing / Entrepreneurship,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20","$1,195","Other Instruction Purposes - Miscellaneous
Career & Technical Educ. Improvement Grant (Ctei)
Fy20",
71,19-0925-EX1,Transfer from Early College and Career - City Wide to Carl Schurz High School,Certifications for CTE Entrepreneurship program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 322024,,46281 Carl Schurz High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",149014 Product Marketing / Entrepreneurship,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20","$1,195","Other Instruction Purposes - Miscellaneous
Career & Technical Educ. Improvement Grant (Ctei)
Fy20",
72,19-0925-EX1,Transfer from Early College and Career - City Wide to South Shore Intl College Prep High School,Certifications for CTE Entrepreneurship program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 322024,,46631 South Shore Intl College Prep High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",149014 Product Marketing / Entrepreneurship,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20","$1,195","Other Instruction Purposes - Miscellaneous
Career & Technical Educ. Improvement Grant (Ctei)
Fy20",
73,19-0925-EX1,Transfer from Early College and Career - City Wide to William Howard Taft High School,Certifications for CTE Entrepreneurship program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 322024,,46311 William Howard Taft High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",149014 Product Marketing / Entrepreneurship,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20","$1,195","Other Instruction Purposes - Miscellaneous
Career & Technical Educ. Improvement Grant (Ctei)
Fy20",
74,19-0925-EX1,Transfer from Early College and Career - City Wide to Whitney M Young Magnet High School,Certifications for CTE Entrepreneurship program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 322024,,47101 Whitney M Young Magnet High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",149014 Product Marketing / Entrepreneurship,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20","$1,195","Other Instruction Purposes - Miscellaneous
Career & Technical Educ. Improvement Grant (Ctei)
Fy20",
75,19-0925-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to George Washington Carver Military Academy HS,"Second installment of Enrichment funds for Summer 2019 Freshman Connections funds can be transferred to other approved lines
please see Freshman Connection Budget Guidance",10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,46381 George Washington Carver Military Academy HS,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,"$1,200",,
76,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Citywide Student Support and Engagement,TAOEP Grant - Parking for Re-Engagement Center Manager ($100 per month*12 Months),10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,211001 Attendance & Social Work,376807 Truant Alternative Optional Education Fy20,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",54205 Travel Expense,230010 Administrative Support,376807 Truant Alternative Optional Education Fy20,"$1,200",,
77,19-0925-EX1,Transfer from Grant Funded Programs Office - City Wide to Lutheran Education Foundation,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,494067 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,69336 Lutheran Education Foundation,353 Title II - Teacher Quality,54130 Services - Non Professional,221022 Federal - Nonpublic Inst (Lutheran),494068 Title Iia - Other Private Supplementary Servc.,"$1,200",,
78,19-0925-EX1,Transfer from Network 3 to Network 3,To cover bus expense for Attendance grant field trip,02431 Network 3,115 General Education Fund,57940 Miscellaneous Charges,221234 Professional Develop/Curriculum Develp,000000 Default Value,02431 Network 3,115 General Education Fund,54210 Pupil Transportation,221234 Professional Develop/Curriculum Develp,000000 Default Value,"$1,200",,
